2024-07-09T05:55:06.467Z FIND Found epoch range to explore:  636 640
2024-07-09T05:55:06.469Z FIND Found delinquent validators [ 'C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM' ]
2024-07-09T05:55:09.114Z STAKES Stake account 2x1vRgKReKEm1BfUo5zzK5dVSD4ZY7uNFH5CVWhqUN1N is de-activating:  9.514590559
2024-07-09T05:55:09.114Z STAKES Stake account 6WUD3UEFfLww9aEMmMsmCpVKR33hYPmGsekraEyyiuiW is de-activating:  1.014529722
2024-07-09T05:55:09.115Z STAKES Stake account 245BDHAXXzKLdcYAFfyQWSnU2unjfmb1bYZNCukHVyFd is de-activating:  3.336176735
2024-07-09T05:55:09.115Z STAKES Stake account FyjKNvYBqW1JReFrnMT7FgFuFnd4r2wRVCJVEzUAP5HG is de-activating:  1.014529722
2024-07-09T05:55:09.115Z STAKES Stake account AcE63XDXaLnrAvKYGzgoJPuhTQNHMoyTVGfismdKtHyt is de-activating:  1.014529722
2024-07-09T05:55:09.115Z STAKES Stake account FenEyf6cJAeowqptGyHTuWfCqywJCDq1tvN6R5GHvwkR is de-activating:  1.014529722
2024-07-09T05:55:09.115Z STAKES Stake account EPEtAqnKNi5g6WY1zpGmp2HZ7s8Naje824wiZ3YomACC is de-activating:  1.014529722
2024-07-09T05:55:09.115Z STAKES Stake account AHCwYonD3QgNsHiW2EMiCjJ4UwqRvV4VVWztJFLAoqLx is de-activating:  3.336179465
2024-07-09T05:55:09.115Z STAKES Stake account 24atS4BP52cSqBkE7PStUsr7UjoFHLAGeEdYvA2cUgry is de-activating:  1.024968329
2024-07-09T05:55:09.115Z STAKES Stake account AwrnYMvcuYcBKMAgJVge4VQgMAKgVoEoH3danmPJbGdq is de-activating:  1.014529722
2024-07-09T05:55:09.116Z STAKES Stake account 76V8Jyj7tKBKwXg2Zi4pPhhwSPkV87Y8KbirWk2cfQE3 is de-activating:  15.829124176
2024-07-09T05:55:09.116Z STAKES Stake account 3PB735rFND1m9ZcWsZ7e6oUx1ige25CJfkJPanKcyXsP is de-activating:  1.994547819
2024-07-09T05:55:09.116Z STAKES Stake account 37f8fYs5gCJZJvDz4v2J5vL25ueaXbNBtrhqcsjw9M6z is de-activating:  1.026280965
2024-07-09T05:55:09.116Z STAKES Stake account FsfpgfqAgcE9Jd7tpB2Rf5EbKpaXFDCaBBH5dNqivWUq is de-activating:  3.09333651
2024-07-09T05:55:09.116Z STAKES Stake account 4jdQ5uoTSaxrZbSSNs3VgxcJK5vMBMK2zgbHvJKDksqA is de-activating:  1.014529722
2024-07-09T05:55:09.116Z STAKES Stake account 5ZhVVq7xBthhx4a9KhHy3e5n2uaFdRrTjAKrQUbeBH3j is de-activating:  0.022431043
2024-07-09T05:55:09.116Z STAKES Stake account 4KSzXEWFRjbVtuvVE85Fnp6kdDoSZu7Xqq3uz6fSCqM9 is de-activating:  4.757927132
2024-07-09T05:55:09.117Z STAKES Stake account 8mZr6mdnpmiyBmLzVhj6DCJcKZh2PEv5WfDFCNaxsLHT is de-activating:  1.014529722
2024-07-09T05:55:09.117Z STAKES Stake account D8JxmumrMToYawnAJ8Tc3oAotfnRKUg3kyQYvnEYmWDx is de-activating:  0.081906074
2024-07-09T05:55:09.117Z STAKES Stake account 4pDmrs1wwmLkxb9HJkhX8565cR8rcEjYuATT8JzSKRbH is de-activating:  1.014529722
2024-07-09T05:55:09.117Z STAKES Stake account 579iiD9QnQUUrzPLLiVaPsYVk6ieqMsGLfmiQANaK8TN is de-activating:  2.269605729
2024-07-09T05:55:09.117Z STAKES Stake account 599YLnawYGyJRUESxVVwqaTQ9VBCuvgySegDUBSMCqVH is de-activating:  0.002303193
2024-07-09T05:55:09.117Z STAKES Stake account 9bwFQz1K3jfn3qWo1MLiduWaQLn2ttzKnBzdwvxhrRp5 is de-activating:  3.336173373
2024-07-09T05:55:09.117Z STAKES Stake account AxvKSaxKws6EY7wjiR9WtzbwMoDUcAJDgNBSGbH7r2Pf is de-activating:  0.003284942
2024-07-09T05:55:09.118Z STAKES Stake account 4EMoJCVCuSgSq2FD92e1Lb4PiT3kYxxmXYUw1YGpWzdW is de-activating:  15.82912418
2024-07-09T05:55:09.118Z STAKES Stake account zZzLr6ng1royJnxQ4JAj7Y39syU3rXYQvNR6PSWX8rT is de-activating:  0.506095447
2024-07-09T05:55:09.118Z STAKES Stake account CQxn2FGJPwc9hpbwrbYATXFczFT4m6mpjKkVg56m8fzk is de-activating:  11.837013282
2024-07-09T05:55:09.118Z STAKES Stake account 8mDu5UyHRUkxMvVQAUiA1NtsiQmtSfiwztCmu9JPW1gq is de-activating:  1.014948232
2024-07-09T05:55:09.118Z STAKES Stake account 5XUgC6is1cAs5HsuvaLD5prKwXXjMD3UPzjEPZfjAouB is de-activating:  1.182224539
2024-07-09T05:55:09.118Z STAKES Stake account HLLj36VtLZ7v1qj7pcCiKmapa8vZPR7tmhDvSpUziki5 is de-activated:  0.00278288
2024-07-09T05:55:09.119Z STAKES Stake account DpTypzqtPumWdMtzjqU9Kby2FHfhvg7nkVNi5js4nj7H is de-activating:  15.829085594
2024-07-09T05:55:09.119Z STAKES Stake account CvrXmXYCsWGrxhrabT2RDLvq8MjAQNK58wuPnnp7aVii is de-activating:  1.014529722
2024-07-09T05:55:09.119Z STAKES Stake account 4dMAKQw1G5g8XMgNecbkJnmW1kA63aex9aEGj8CVSo4e is de-activating:  15.829123832
2024-07-09T05:55:09.119Z STAKES Stake account GCzeyitJoskhMG2jcvHxsrsYxGBHYyputsctKWZDrRL4 is de-activating:  3.186023178
2024-07-09T05:55:09.119Z STAKES Stake account DSVFQt2iVyTFXSjBsj346QmZGBu2Y2J5kCBo7UY2LTWT is de-activating:  1.014948232
2024-07-09T05:55:09.119Z STAKES Stake account 5PPLR1fsh7sWaAnkzHdnYf86D7rCzrbnP3SGFa9FXKSA is de-activating:  0.017353129
2024-07-09T05:55:09.119Z STAKES Stake account EavqqqR8XDA8e6KaAZnDVYwSmMNTV7doqK2MHiG94HmV is de-activating:  1.014948232
2024-07-09T05:55:09.120Z STAKES Stake account 2zrUsWXD4GJQ8cmetC2TjKHqWWfSXNigXFYdZrQwUr8i is de-activating:  0.003285772
2024-07-09T05:55:09.120Z STAKES Stake account F6xfosXXP9tPPdX4DmSh7edDLRt52xfHAcoBYu7DvDg is de-activating:  1.014948232
2024-07-09T05:55:09.120Z STAKES Stake account 8bCiudTcu6SvKnGeC7cJzSmPtuNE2qCwcY1SfeQ35DfQ is de-activating:  0.496355641
2024-07-09T05:55:09.120Z STAKES Stake account 5JsJsk3hsiUsBsfVga6LJHT9CeS32oACji3EhYF92GL6 is de-activating:  1.014529722
2024-07-09T05:55:09.120Z STAKES Stake account 7ZRdysvvHSKfppFDHcCNf3vUSyBbMwp9xXNjNdpnneFe is de-activating:  1.014529722
2024-07-09T05:55:09.120Z STAKES Stake account G92QT92fnTqnQrqWBmNvr5G5zHQC9SMgvy6TStzDQaiJ is de-activating:  0.096439098
2024-07-09T05:55:09.120Z STAKES Stake account CVLtTTSggTvBC85BZ95oyGBeXxGFiujYQ3HtpfQxEoJv is de-activating:  1.994562035
2024-07-09T05:55:09.121Z STAKES Stake account Fs1uJDCRJoWcf25irNtTXYMRa8o4WFAXFuWbzpqErHfk is de-activating:  1.994546576
2024-07-09T05:55:09.121Z STAKES Stake account 241u7LTzH3a4825wGJUvYrNwzcKS5zLdgkNn6neYzeRc is de-activating:  5.059087871
2024-07-09T05:55:09.121Z STAKES Stake account Hq6oEAH4rdBBeHVrcCiew1cgWZg3wbyETEJnbMC2hSPn is de-activating:  3.336173373
